Date : 2022-11-30 17:37:15
Directory : /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service
Total : 141 files,  3662 codes, 39 comments, 294 blanks, all 3995 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         41 |      2,081 |         27 |          0 |      2,108 |
| TypeScript |         99 |      1,600 |         12 |        295 |      1,907 |
| Properties |          1 |        -19 |          0 |         -1 |        -20 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        141 |      3,662 |         39 |        294 |      3,995 |
| dist                                                                                                                                     |         76 |      2,397 |         27 |         27 |      2,451 |
| dist/models                                                                                                                              |         10 |        207 |          4 |          4 |        215 |
| dist/models/calendars                                                                                                                    |          6 |        124 |          3 |          3 |        130 |
| dist/models/tools                                                                                                                        |          2 |         68 |          1 |          1 |         70 |
| dist/models/tools/calendar                                                                                                               |          2 |         68 |          1 |          1 |         70 |
| dist/models/users                                                                                                                        |          2 |         15 |          0 |          0 |         15 |
| dist/scripts                                                                                                                             |          4 |         39 |          2 |          2 |         43 |
| dist/scripts/lead-delivery                                                                                                               |          4 |         39 |          2 |          2 |         43 |
| dist/units                                                                                                                               |         61 |      2,141 |         21 |         21 |      2,183 |
| dist/units/calendars                                                                                                                     |         24 |      1,177 |         12 |         12 |      1,201 |
| dist/units/calendars/calendar                                                                                                            |          8 |        371 |          4 |          4 |        379 |
| dist/units/calendars/calendar-detail                                                                                                     |          8 |        390 |          4 |          4 |        398 |
| dist/units/calendars/calendar-space                                                                                                      |          8 |        416 |          4 |          4 |        424 |
| dist/units/leads                                                                                                                         |          4 |         80 |          0 |          0 |         80 |
| dist/units/leads/leads                                                                                                                   |          4 |         80 |          0 |          0 |         80 |
| dist/units/message                                                                                                                       |         16 |        769 |          8 |          8 |        785 |
| dist/units/message/message_delivery                                                                                                      |          8 |        397 |          4 |          4 |        405 |
| dist/units/message/messages                                                                                                              |          8 |        372 |          4 |          4 |        380 |
| dist/units/notes                                                                                                                         |          2 |         11 |          0 |          0 |         11 |
| dist/units/notes/notes                                                                                                                   |          2 |         11 |          0 |          0 |         11 |
| dist/units/user                                                                                                                          |         15 |        104 |          1 |          1 |        106 |
| dist/units/user/auth                                                                                                                     |          5 |         42 |          0 |          0 |         42 |
| dist/units/user/team_user                                                                                                                |          1 |          4 |          0 |          0 |          4 |
| dist/units/user/user                                                                                                                     |          6 |         32 |          0 |          0 |         32 |
| dist/units/user/user_login                                                                                                               |          1 |         -1 |          0 |          0 |         -1 |
| src                                                                                                                                      |         64 |      1,284 |         12 |        268 |      1,564 |
| src/configs                                                                                                                              |          1 |          0 |         -7 |          2 |         -5 |
| src/libs                                                                                                                                 |          1 |          0 |          0 |         -2 |         -2 |
| src/libs/logger                                                                                                                          |          1 |          0 |          0 |         -2 |         -2 |
| src/models                                                                                                                               |          8 |         66 |         18 |         29 |        113 |
