Date : 2022-12-13 15:07:58
Directory : /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service
Total : 911 files,  61261 codes, 492 comments, 3193 blanks, all 64946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/exception-filters/all-exception-filters.js                                   | JavaScript         |         23 |          1 |          0 |         24 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.module.d.ts                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.module.js                                                      | JavaScript         |         23 |          1 |          0 |         24 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.service.d.ts                                                   | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/libs/logger/logger.service.js                                                     | JavaScript         |         90 |          1 |          0 |         91 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/main.d.ts                                                                         | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/main.js                                                                           | JavaScript         |         31 |          1 |          0 |         32 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/api_clients/api_clients.entity.d.ts                                        | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/api_clients/api_clients.entity.js                                          | JavaScript         |         40 |          1 |          0 |         41 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/base.entity.d.ts                                                           | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/base.entity.js                                                             | JavaScript         |         41 |          1 |          0 |         42 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_affiliate.entity.d.ts                                       | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_affiliate.entity.js                                         | JavaScript         |         48 |          1 |          0 |         49 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_user.entity.d.ts                                            | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_user.entity.js                                              | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/brokers.entity.d.ts                                                | TypeScript         |         15 |          0 |          1 |         16 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/brokers.entity.js                                                  | JavaScript         |         72 |          1 |          0 |         73 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.d.ts                                      | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.js                                        | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.d.ts                                       | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.js                                         | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.d.ts                                             | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.js                                               | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/campaigns/ad_campaigns.entity.d.ts                                         | TypeScript         |         17 |          0 |          1 |         18 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/campaigns/ad_campaigns.entity.js                                           | JavaScript         |         76 |          1 |          0 |         77 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ccs/cc_calls.entity.d.ts                                                   | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ccs/cc_calls.entity.js                                                     | JavaScript         |         48 |          1 |          0 |         49 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules.entity.d.ts                                            | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules.entity.js                                              | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules_description.entity.d.ts                                | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules_description.entity.js                                  | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy.entity.d.ts                                         | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy.entity.js                                           | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy_rules.entity.d.ts                                   | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_strategy_rules.entity.js                                     | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_pool.entity.d.ts                                                | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_pool.entity.js                                                  | JavaScript         |         64 |          1 |          0 |         65 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_source_types.entity.d.ts                                        | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_source_types.entity.js                                          | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_state_descriptions.entity.d.ts                                  | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_state_descriptions.entity.js                                    | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_states.entity.d.ts                                              | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/lead_states.entity.js                                                | JavaScript         |         24 |          1 |          0 |         25 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/leads.entity.d.ts                                                    | TypeScript         |         17 |          0 |          1 |         18 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/leads/leads.entity.js                                                      | JavaScript         |         76 |          1 |          0 |         77 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/logs/audit_log.entity.d.ts                                                 | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/logs/audit_log.entity.js                                                   | JavaScript         |         52 |          1 |          0 |         53 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_board.entity.d.ts                                         | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_board.entity.js                                           | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_delivery.entity.d.ts                                      | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/messages/message_delivery.entity.js                                        | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/migration/migration.entity.d.ts                                            | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/migration/migration.entity.js                                              | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/note_delivery.entity.d.ts                                            | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/note_delivery.entity.js                                              | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/notes.entity.d.ts                                                    | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notes/notes.entity.js                                                      | JavaScript         |         40 |          1 |          0 |         41 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notification_delivery.entity.d.ts                            | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notification_delivery.entity.js                              | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notifications.entity.d.ts                                    | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/notifications/notifications.entity.js                                      | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/perms.enum.d.ts                                                    | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/perms.enum.js                                                      | JavaScript         |          8 |          1 |          0 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/roles.enum.d.ts                                                    | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ownered/roles.enum.js                                                      | JavaScript         |          8 |          1 |          0 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports.entity.d.ts                                                | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports.entity.js                                                  | JavaScript         |         40 |          1 |          0 |         41 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports_user.entity.d.ts                                           | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/reports/reports_user.entity.js                                             | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/permissions.entity.d.ts                                  | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/permissions.entity.js                                    | JavaScript         |         24 |          1 |          0 |         25 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/role_permissions.entity.d.ts                             | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/role_permissions.entity.js                               | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles.entity.d.ts                                        | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles.entity.js                                          | JavaScript         |         24 |          1 |          0 |         25 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles_description.entity.d.ts                            | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/rolesNpermissions/roles_description.entity.js                              | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/settings/settings.entity.d.ts                                              | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/settings/settings.entity.js                                                | JavaScript         |         44 |          1 |          0 |         45 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/task/tasks.entity.d.ts                                                     | TypeScript         |         12 |          0 |          1 |         13 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/task/tasks.entity.js                                                       | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/teams/teams.entity.d.ts                                                    | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/teams/teams.entity.js                                                      | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.d.ts                                        | TypeScript         |         12 |          0 |          1 |         13 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.js                                          | JavaScript         |         56 |          1 |          0 |         57 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/team_user.entity.d.ts                                                | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/team_user.entity.js                                                  | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.d.ts                                                     | TypeScript         |         29 |          0 |          1 |         30 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.js                                                       | JavaScript         |        124 |          1 |          0 |        125 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_adress.entity.d.ts                                              | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_adress.entity.js                                                | JavaScript         |         48 |          1 |          0 |         49 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_contact.entity.d.ts                                             | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_contact.entity.js                                               | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_documents.entity.d.ts                                           | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_documents.entity.js                                             | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_login.entity.d.ts                                               | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_login.entity.js                                                 | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_performance.entity.d.ts                                         | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_performance.entity.js                                           | JavaScript         |         44 |          1 |          0 |         45 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_permissions.entity.d.ts                                         | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_permissions.entity.js                                           | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_roles.entity.d.ts                                               | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_roles.entity.js                                                 | JavaScript         |         36 |          1 |          0 |         37 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_states.entity.d.ts                                              | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user_states.entity.js                                                | JavaScript         |         28 |          1 |          0 |         29 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/orm.config.d.ts                                                                   | TypeScript         |         65 |          1 |          1 |         67 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/orm.config.js                                                                     | JavaScript         |         11 |          7 |          0 |         18 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.d.ts                                   | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.js                                     | JavaScript         |         19 |          1 |          0 |         20 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.d.ts                                  | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.js                                    | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.module.d.ts                                         | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.module.js                                           | JavaScript         |         55 |          1 |          0 |         56 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.service.d.ts                                        | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer-scripts/mailer.service.js                                          | JavaScript         |         62 |          1 |          0 |         63 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.controller.d.ts                                             | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.controller.js                                               | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.module.d.ts                                                 | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.module.js                                                   | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.service.d.ts                                                | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/mailer/mailer.service.js                                                  | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.controller.d.ts                                  | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.controller.js                                    | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.module.d.ts                                      | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.module.js                                        | JavaScript         |         21 |          1 |          0 |         22 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.service.d.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/verifyEmail/verify-email.service.js                                       | JavaScript         |         16 |          1 |          0 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/write-type-orm-config.d.ts                                                | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/write-type-orm-config.js                                                  | JavaScript         |          5 |          1 |          0 |          6 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.controller.d.ts                                       | TypeScript         |         11 |          0 |          1 |         12 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.controller.js                                         | JavaScript         |         81 |          1 |          0 |         82 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.dto.d.ts                                              | TypeScript         |         20 |          0 |          1 |         21 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.dto.js                                                | JavaScript         |        126 |          1 |          0 |        127 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.module.d.ts                                           | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.module.js                                             | JavaScript         |         25 |          1 |          0 |         26 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.service.d.ts                                          | TypeScript         |         17 |          0 |          1 |         18 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/audit-logs/audit-logs.service.js                                            | JavaScript         |         89 |          1 |          0 |         90 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.controller.d.ts                   | TypeScript         |         13 |          0 |          1 |         14 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.controller.js                     | JavaScript         |        102 |          1 |          0 |        103 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.dto.d.ts                          | TypeScript         |         19 |          0 |          1 |         20 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.dto.js                            | JavaScript         |        120 |          1 |          0 |        121 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.module.d.ts                       | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.module.js                         | JavaScript         |         25 |          1 |          0 |         26 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.service.d.ts                      | TypeScript         |         16 |          0 |          1 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_affiliate/broker_affiliate.service.js                        | JavaScript         |         84 |          1 |          0 |         85 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.controller.d.ts                             | TypeScript         |         13 |          0 |          1 |         14 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.controller.js                               | JavaScript         |        102 |          1 |          0 |        103 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.dto.d.ts                                    | TypeScript         |         15 |          0 |          1 |         16 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.dto.js                                      | JavaScript         |         92 |          1 |          0 |         93 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.module.d.ts                                 | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.module.js                                   | JavaScript         |         25 |          1 |          0 |         26 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.service.d.ts                                | TypeScript         |         16 |          0 |          1 |         17 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/broker_user/broker_user.service.js                                  | JavaScript         |         84 |          1 |          0 |         85 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/broker.dto.d.ts                                             | TypeScript         |         24 |          0 |          1 |         25 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/broker.dto.js                                               | JavaScript         |        153 |          1 |          0 |        154 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.controller.d.ts                                     | TypeScript         |         21 |          0 |          1 |         22 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.controller.js                                       | JavaScript         |        183 |          1 |          0 |        184 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.module.d.ts                                         | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.module.js                                           | JavaScript         |         32 |          1 |          0 |         33 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.service.d.ts                                        | TypeScript         |         30 |          0 |          1 |         31 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/brokers/brokers/brokers.service.js                                          | JavaScript         |        141 |          1 |          0 |        142 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.d.ts                   | TypeScript         |         15 |          0 |          1 |         16 |
| /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.js                     | JavaScript         |        122 |          1 |          0 |        123 |
