Date : 2022-12-13 15:07:58
Directory : /Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service
Total : 911 files,  61261 codes, 492 comments, 3193 blanks, all 64946 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     22,248 |         11 |          3 |     22,262 |
| JavaScript         |        266 |     19,392 |        290 |          8 |     19,690 |
| TypeScript         |        629 |     17,388 |        176 |      3,090 |     20,654 |
| Handlebars         |          3 |      2,079 |          0 |         34 |      2,113 |
| Markdown           |          1 |         51 |          2 |         21 |         74 |
| Properties         |          1 |         36 |          0 |          7 |         43 |
| Docker             |          1 |         25 |         13 |         25 |         63 |
| JSON with Comments |          1 |         21 |          0 |          1 |         22 |
| YAML               |          1 |         17 |          0 |          4 |         21 |
| Ignore             |          1 |          4 |          0 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |        911 |     61,261 |        492 |      3,193 |     64,946 |
| dist                                                                                                                                                     |        530 |     22,450 |        292 |        272 |     23,014 |
| dist/configs                                                                                                                                             |          8 |        173 |         24 |          4 |        201 |
| dist/decorators                                                                                                                                          |          8 |         25 |          4 |          4 |         33 |
| dist/guards                                                                                                                                              |          4 |         53 |          2 |          2 |         57 |
| dist/libs                                                                                                                                                |          8 |        221 |          4 |          4 |        229 |
| dist/libs/api-results                                                                                                                                    |          2 |         69 |          1 |          1 |         71 |
| dist/libs/exception-filters                                                                                                                              |          2 |         28 |          1 |          1 |         30 |
| dist/libs/logger                                                                                                                                         |          4 |        124 |          2 |          2 |        128 |
| dist/models                                                                                                                                              |         98 |      2,330 |         49 |         49 |      2,428 |
| dist/models/api_clients                                                                                                                                  |          2 |         48 |          1 |          1 |         50 |
| dist/models/brokers                                                                                                                                      |          6 |        183 |          3 |          3 |        189 |
| dist/models/calendars                                                                                                                                    |          6 |        124 |          3 |          3 |        130 |
| dist/models/campaigns                                                                                                                                    |          2 |         93 |          1 |          1 |         95 |
| dist/models/ccs                                                                                                                                          |          2 |         58 |          1 |          1 |         60 |
| dist/models/deliveries                                                                                                                                   |          8 |        147 |          4 |          4 |        155 |
| dist/models/leads                                                                                                                                        |         10 |        270 |          5 |          5 |        280 |
| dist/models/logs                                                                                                                                         |          2 |         63 |          1 |          1 |         65 |
| dist/models/messages                                                                                                                                     |          4 |         71 |          2 |          2 |         75 |
| dist/models/migration                                                                                                                                    |          2 |         38 |          1 |          1 |         40 |
| dist/models/notes                                                                                                                                        |          4 |         86 |          2 |          2 |         90 |
| dist/models/notifications                                                                                                                                |          4 |         81 |          2 |          2 |         85 |
| dist/models/ownered                                                                                                                                      |          4 |         24 |          2 |          2 |         28 |
| dist/models/reports                                                                                                                                      |          4 |         81 |          2 |          2 |         85 |
| dist/models/rolesNpermissions                                                                                                                            |          8 |        142 |          4 |          4 |        150 |
| dist/models/settings                                                                                                                                     |          2 |         53 |          1 |          1 |         55 |
| dist/models/task                                                                                                                                         |          2 |         68 |          1 |          1 |         70 |
| dist/models/teams                                                                                                                                        |          2 |         33 |          1 |          1 |         35 |
| dist/models/tools                                                                                                                                        |          2 |         68 |          1 |          1 |         70 |
| dist/models/tools/calendar                                                                                                                               |          2 |         68 |          1 |          1 |         70 |
| dist/models/users                                                                                                                                        |         20 |        550 |         10 |         10 |        570 |
| dist/scripts                                                                                                                                             |         22 |        289 |         11 |         11 |        311 |
| dist/scripts/lead-delivery                                                                                                                               |          4 |         39 |          2 |          2 |         43 |
| dist/scripts/mailer                                                                                                                                      |          6 |         59 |          3 |          3 |         65 |
| dist/scripts/mailer-scripts                                                                                                                              |          4 |        126 |          2 |          2 |        130 |
| dist/scripts/verifyEmail                                                                                                                                 |          6 |         59 |          3 |          3 |         65 |
| dist/units                                                                                                                                               |        372 |     19,000 |        186 |        193 |     19,379 |
| dist/units/audit-logs                                                                                                                                    |          8 |        371 |          4 |          4 |        379 |
| dist/units/brokers                                                                                                                                       |         24 |      1,316 |         12 |         12 |      1,340 |
| dist/units/brokers/broker_affiliate                                                                                                                      |          8 |        381 |          4 |          4 |        389 |
| dist/units/brokers/broker_user                                                                                                                           |          8 |        349 |          4 |          4 |        357 |
| dist/units/brokers/brokers                                                                                                                               |          8 |        586 |          4 |          4 |        594 |
| dist/units/calendars                                                                                                                                     |         24 |      1,177 |         12 |         12 |      1,201 |
| dist/units/calendars/calendar                                                                                                                            |          8 |        371 |          4 |          4 |        379 |
| dist/units/calendars/calendar-detail                                                                                                                     |          8 |        390 |          4 |          4 |        398 |
| dist/units/calendars/calendar-space                                                                                                                      |          8 |        416 |          4 |          4 |        424 |
| dist/units/campaigns                                                                                                                                     |          8 |        488 |          4 |          4 |        496 |
| dist/units/cc-calls                                                                                                                                      |          8 |        414 |          4 |          4 |        422 |
| dist/units/deliveries                                                                                                                                    |         32 |      1,469 |         16 |         16 |      1,501 |
| dist/units/deliveries/ld-rules                                                                                                                           |          8 |        365 |          4 |          4 |        373 |
| dist/units/deliveries/ld-rules-description                                                                                                               |          8 |        365 |          4 |          4 |        373 |
| dist/units/deliveries/ld-strategy                                                                                                                        |          8 |        357 |          4 |          4 |        365 |
| dist/units/deliveries/ld-strategy-rules                                                                                                                  |          8 |        382 |          4 |          4 |        390 |
| dist/units/external                                                                                                                                      |          6 |         59 |          3 |          3 |         65 |
| dist/units/leads                                                                                                                                         |         40 |      2,319 |         20 |         21 |      2,360 |
| dist/units/leads/lead-source-types                                                                                                                       |          8 |        357 |          4 |          4 |        365 |
| dist/units/leads/lead-state-description                                                                                                                  |          8 |        365 |          4 |          4 |        373 |
| dist/units/leads/lead-states                                                                                                                             |          8 |        338 |          4 |          4 |        346 |
| dist/units/leads/leadpools                                                                                                                               |          8 |        514 |          4 |          4 |        522 |
| dist/units/leads/leads                                                                                                                                   |          8 |        745 |          4 |          5 |        754 |
| dist/units/message                                                                                                                                       |         16 |        769 |          8 |          8 |        785 |
| dist/units/message/message_delivery                                                                                                                      |          8 |        397 |          4 |          4 |        405 |
| dist/units/message/messages                                                                                                                              |          8 |        372 |          4 |          4 |        380 |
| dist/units/notes                                                                                                                                         |         16 |        900 |          8 |          8 |        916 |
| dist/units/notes/note_delivery                                                                                                                           |          8 |        386 |          4 |          4 |        394 |
| dist/units/notes/notes                                                                                                                                   |          8 |        514 |          4 |          4 |        522 |
| dist/units/notifications                                                                                                                                 |         16 |        791 |          8 |          8 |        807 |
| dist/units/notifications/notification                                                                                                                    |          8 |        394 |          4 |          4 |        402 |
| dist/units/notifications/notification-delivery                                                                                                           |          8 |        397 |          4 |          4 |        405 |
| dist/units/permissions                                                                                                                                   |          8 |        333 |          4 |          4 |        341 |
| dist/units/reports                                                                                                                                       |         22 |      1,463 |         11 |         17 |      1,491 |
| dist/units/reports/report                                                                                                                                |          8 |        413 |          4 |          4 |        421 |
| dist/units/reports/reports-user                                                                                                                          |          8 |        389 |          4 |          4 |        397 |
| dist/units/roles                                                                                                                                         |         24 |      1,106 |         12 |         12 |      1,130 |
| dist/units/roles/roles                                                                                                                                   |          8 |        325 |          4 |          4 |        333 |
| dist/units/roles/roles-description                                                                                                                       |          8 |        397 |          4 |          4 |        405 |
| dist/units/roles/roles_permissions                                                                                                                       |          8 |        384 |          4 |          4 |        392 |
| dist/units/settings                                                                                                                                      |          8 |        422 |          4 |          4 |        430 |
| dist/units/tasks                                                                                                                                         |          8 |        464 |          4 |          4 |        472 |
| dist/units/teams                                                                                                                                         |          8 |        374 |          4 |          4 |        382 |
| dist/units/user                                                                                                                                          |         96 |      4,765 |         48 |         48 |      4,861 |
| dist/units/user/auth                                                                                                                                     |         12 |        440 |          6 |          6 |        452 |
| dist/units/user/perm_user                                                                                                                                |          8 |        368 |          4 |          4 |        376 |
| dist/units/user/register                                                                                                                                 |          8 |        394 |          4 |          4 |        402 |
| dist/units/user/role_user                                                                                                                                |          8 |        368 |          4 |          4 |        376 |
| dist/units/user/team_user                                                                                                                                |          8 |        352 |          4 |          4 |        360 |
| dist/units/user/user                                                                                                                                     |         10 |        947 |          5 |          5 |        957 |
| dist/units/user/user_adress                                                                                                                              |          8 |        381 |          4 |          4 |        389 |
| dist/units/user/user_contact                                                                                                                             |          8 |        357 |          4 |          4 |        365 |
| dist/units/user/user_documents                                                                                                                           |          8 |        357 |          4 |          4 |        365 |
| dist/units/user/user_login                                                                                                                               |          8 |        362 |          4 |          4 |        370 |
